0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	100,	101,	102,	103,	104,	105,	106,	107,	108,	109,	110,	111,	112,	113,	114,	115,	116,	117,	118,	119,	120,	121,	122,	123,	124,	125,	126,	127,	128,	129,	130,	131,	132,	133,	134,	135,	136,	137,	138,	139,	140,	141,	142,	143,	144,	145,	146,	147,	148,	149,	150,	151,	152,	153,	154,	155,	156,	157,	158,	159,	160,	161,	162,	163,	164,	165,	166,	167,	168,	169,	170,	171,	172,	173,	174,	175,	176,	177,	178,	179,	180,	181,	182,	183,	184,	185,	186,	187,	188,	189,	190,	191,	192,	193,	194,	195,	196,	197,	198,	199,	200,	201
0.001,	0.999586,	0.999289,	0.998007,	0.995738,	0.992485,	0.98825,	0.983037,	0.976851,	0.969697,	0.961581,	0.952512,	0.942497,	0.931547,	0.91967,	0.906879,	0.893187,	0.878605,	0.863148,	0.846831,	0.829671,	0.811682,	0.792884,	0.773295,	0.752933,	0.731818,	0.709972,	0.687417,	0.664173,	0.640264,	0.615715,	0.590549,	0.564791,	0.538467,	0.511603,	0.484225,	0.456362,	0.428041,	0.399291,	0.370139,	0.340616,	0.31075,	0.280572,	0.250112,	0.219401,	0.18847,	0.157348,	0.126069,	0.0946626,	0.063159,	0.0315889,	2.22653e-05,	-0.0315803,	-0.0631834,	-0.0946683,	-0.12607,	-0.157348,	-0.18847,	-0.219401,	-0.250112,	-0.280572,	-0.31075,	-0.340615,	-0.370139,	-0.399291,	-0.428041,	-0.456362,	-0.484225,	-0.511603,	-0.538467,	-0.564791,	-0.590549,	-0.615715,	-0.640264,	-0.664173,	-0.687417,	-0.709972,	-0.731818,	-0.752933,	-0.773295,	-0.792884,	-0.811682,	-0.829671,	-0.846831,	-0.863148,	-0.878605,	-0.893187,	-0.906879,	-0.91967,	-0.931546,	-0.942497,	-0.952512,	-0.961581,	-0.969697,	-0.976851,	-0.983037,	-0.98825,	-0.992485,	-0.995738,	-0.998007,	-0.999289,	-0.999586,	-0.998895,	-0.99722,	-0.994562,	-0.990924,	-0.986311,	-0.980727,	-0.974179,	-0.966674,	-0.958219,	-0.948823,	-0.938497,	-0.927251,	-0.915096,	-0.902044,	-0.88811,	-0.873306,	-0.857649,	-0.841153,	-0.823836,	-0.805714,	-0.786806,	-0.76713,	-0.746707,	-0.725555,	-0.703697,	-0.681153,	-0.657947,	-0.6341,	-0.609636,	-0.58458,	-0.558956,	-0.532788,	-0.506103,	-0.478927,	-0.451285,	-0.423206,	-0.394716,	-0.365843,	-0.336615,	-0.307061,	-0.277209,	-0.247089,	-0.216729,	-0.186159,	-0.155409,	-0.124508,	-0.093487,	-0.0623751,	-0.0312027,	2.25691e-06,	0.0312018,	0.0623735,	0.0934865,	0.124508,	0.155409,	0.186159,	0.216729,	0.247089,	0.277209,	0.307061,	0.336615,	0.365843,	0.394716,	0.423206,	0.451285,	0.478926,	0.506103,	0.532788,	0.558956,	0.58458,	0.609636,	0.6341,	0.657947,	0.681153,	0.703697,	0.725555,	0.746706,	0.76713,	0.786806,	0.805714,	0.823836,	0.841153,	0.857649,	0.873306,	0.88811,	0.902044,	0.915096,	0.927251,	0.938497,	0.948823,	0.958219,	0.966674,	0.974179,	0.980727,	0.986311,	0.990924,	0.994562,	0.99722,	0.998895,	0.999586
0.002,	0.999132,	0.999033,	0.997947,	0.995874,	0.992816,	0.988773,	0.98375,	0.977749,	0.970776,	0.962836,	0.953936,	0.944084,	0.933289,	0.921561,	0.908909,	0.895347,	0.880886,	0.86554,	0.849323,	0.832252,	0.814342,	0.79561,	0.776075,	0.755756,	0.734672,	0.712844,	0.690294,	0.667044,	0.643117,	0.618537,	0.593327,	0.567515,	0.541124,	0.514182,	0.486716,	0.458753,	0.430322,	0.401452,	0.372172,	0.342511,	0.3125,	0.282169,	0.251549,	0.220672,	0.189569,	0.158272,	0.126813,	0.0952222,	0.0635318,	0.0317783,	3.37443e-05,	-0.031761,	-0.0635656,	-0.095236,	-0.126815,	-0.158272,	-0.189569,	-0.220672,	-0.251549,	-0.282169,	-0.3125,	-0.342511,	-0.372172,	-0.401452,	-0.430322,	-0.458753,	-0.486716,	-0.514182,	-0.541124,	-0.567514,	-0.593327,	-0.618537,	-0.643117,	-0.667044,	-0.690294,	-0.712844,	-0.734672,	-0.755756,	-0.776075,	-0.79561,	-0.814342,	-0.832252,	-0.849323,	-0.86554,	-0.880886,	-0.895347,	-0.908909,	-0.921561,	-0.933289,	-0.944084,	-0.953936,	-0.962836,	-0.970776,	-0.977749,	-0.98375,	-0.988773,	-0.992816,	-0.995874,	-0.997947,	-0.999033,	-0.999132,	-0.998246,	-0.996376,	-0.993526,	-0.989699,	-0.9849,	-0.979136,	-0.972412,	-0.964738,	-0.95612,	-0.946569,	-0.936095,	-0.924709,	-0.912424,	-0.899251,	-0.885206,	-0.870302,	-0.854555,	-0.837981,	-0.820597,	-0.80242,	-0.783468,	-0.763762,	-0.743319,	-0.722161,	-0.700308,	-0.677783,	-0.654607,	-0.630803,	-0.606394,	-0.581404,	-0.555858,	-0.52978,	-0.503195,	-0.47613,	-0.44861,	-0.420662,	-0.392312,	-0.363589,	-0.334519,	-0.30513,	-0.275451,	-0.245509,	-0.215334,	-0.184954,	-0.154398,	-0.123695,	-0.0928741,	-0.0619652,	-0.0309968,	2.96442e-06,	0.0309963,	0.061963,	0.0928731,	0.123694,	0.154397,	0.184953,	0.215334,	0.245509,	0.27545,	0.30513,	0.334519,	0.363589,	0.392312,	0.420662,	0.44861,	0.47613,	0.503195,	0.52978,	0.555858,	0.581404,	0.606394,	0.630803,	0.654607,	0.677783,	0.700308,	0.722161,	0.743319,	0.763762,	0.783468,	0.80242,	0.820597,	0.837981,	0.854555,	0.870302,	0.885206,	0.899251,	0.912424,	0.924709,	0.936095,	0.946569,	0.95612,	0.964738,	0.972412,	0.979136,	0.9849,	0.989699,	0.993526,	0.996376,	0.998246,	0.999132
0.003,	0.99864,	0.998737,	0.997848,	0.995971,	0.993108,	0.989258,	0.984425,	0.97861,	0.971819,	0.964057,	0.955328,	0.945641,	0.935004,	0.923426,	0.910916,	0.897486,	0.883149,	0.867916,	0.851803,	0.834823,	0.816994,	0.798331,	0.778854,	0.75858,	0.737529,	0.715722,	0.69318,	0.669926,	0.645982,	0.621372,	0.596121,	0.570255,	0.543798,	0.516779,	0.489225,	0.461163,	0.432622,	0.403632,	0.374223,	0.344424,	0.314266,	0.283781,	0.253001,	0.221956,	0.190681,	0.159205,	0.127564,	0.095788,	0.0639105,	0.0319713,	4.09784e-05,	-0.0319467,	-0.0639481,	-0.0958079,	-0.12757,	-0.159207,	-0.190681,	-0.221956,	-0.253001,	-0.283781,	-0.314266,	-0.344424,	-0.374223,	-0.403632,	-0.432622,	-0.461163,	-0.489225,	-0.516779,	-0.543798,	-0.570255,	-0.596121,	-0.621372,	-0.645982,	-0.669926,	-0.69318,	-0.715722,	-0.737529,	-0.75858,	-0.778854,	-0.798331,	-0.816994,	-0.834823,	-0.851802,	-0.867916,	-0.883149,	-0.897486,	-0.910916,	-0.923426,	-0.935004,	-0.945641,	-0.955328,	-0.964056,	-0.971819,	-0.97861,	-0.984425,	-0.989258,	-0.993108,	-0.995971,	-0.997848,	-0.998737,	-0.99864,	-0.997558,	-0.995495,	-0.992454,	-0.988439,	-0.983457,	-0.977514,	-0.970617,	-0.962775,	-0.953997,	-0.944294,	-0.933675,	-0.922153,	-0.90974,	-0.89645,	-0.882297,	-0.867296,	-0.851462,	-0.834813,	-0.817364,	-0.799135,	-0.780143,	-0.760408,	-0.739949,	-0.718786,	-0.696942,	-0.674437,	-0.651293,	-0.627533,	-0.60318,	-0.578257,	-0.55279,	-0.526802,	-0.500318,	-0.473364,	-0.445965,	-0.418147,	-0.389938,	-0.361362,	-0.332448,	-0.303223,	-0.273714,	-0.24395,	-0.213957,	-0.183764,	-0.1534,	-0.122892,	-0.0922695,	-0.0615608,	-0.0307939,	3.23225e-06,	0.0307938,	0.0615584,	0.0922682,	0.122891,	0.153399,	0.183764,	0.213957,	0.243949,	0.273714,	0.303223,	0.332448,	0.361362,	0.389937,	0.418147,	0.445965,	0.473364,	0.500318,	0.526802,	0.55279,	0.578257,	0.60318,	0.627532,	0.651292,	0.674436,	0.696942,	0.718786,	0.739949,	0.760408,	0.780143,	0.799135,	0.817364,	0.834813,	0.851462,	0.867296,	0.882297,	0.89645,	0.90974,	0.922153,	0.933675,	0.944294,	0.953997,	0.962775,	0.970617,	0.977514,	0.983457,	0.988439,	0.992454,	0.995495,	0.997558,	0.99864
0.004,	0.998109,	0.998402,	0.997709,	0.996029,	0.99336,	0.989704,	0.985062,	0.979435,	0.972827,	0.965243,	0.956688,	0.947168,	0.936691,	0.925265,	0.912899,	0.899605,	0.885393,	0.870277,	0.854269,	0.837384,	0.819639,	0.801048,	0.781631,	0.761405,	0.74039,	0.718606,	0.696074,	0.672818,	0.648859,	0.624221,	0.59893,	0.573011,	0.54649,	0.519395,	0.491752,	0.463592,	0.434941,	0.405831,	0.376292,	0.346355,	0.31605,	0.28541,	0.254467,	0.223254,	0.191804,	0.160149,	0.128323,	0.0963604,	0.0642944,	0.0321664,	4.61711e-05,	-0.0321358,	-0.0643335,	-0.0963847,	-0.128333,	-0.160152,	-0.191804,	-0.223254,	-0.254467,	-0.28541,	-0.31605,	-0.346355,	-0.376292,	-0.405832,	-0.434941,	-0.463592,	-0.491753,	-0.519395,	-0.54649,	-0.573011,	-0.59893,	-0.624221,	-0.648859,	-0.672818,	-0.696074,	-0.718606,	-0.74039,	-0.761405,	-0.781631,	-0.801048,	-0.819638,	-0.837384,	-0.854269,	-0.870277,	-0.885393,	-0.899605,	-0.912899,	-0.925265,	-0.936691,	-0.947168,	-0.956688,	-0.965243,	-0.972827,	-0.979435,	-0.985061,	-0.989704,	-0.99336,	-0.996029,	-0.997709,	-0.998402,	-0.998109,	-0.996833,	-0.994577,	-0.991346,	-0.987146,	-0.981982,	-0.975862,	-0.968795,	-0.960788,	-0.951852,	-0.941998,	-0.931237,	-0.919582,	-0.907045,	-0.89364,	-0.879382,	-0.864287,	-0.84837,	-0.831648,	-0.814139,	-0.79586,	-0.77683,	-0.757069,	-0.736596,	-0.715432,	-0.693597,	-0.671114,	-0.648003,	-0.624289,	-0.599993,	-0.575139,	-0.549752,	-0.523854,	-0.497471,	-0.470628,	-0.443349,	-0.415662,	-0.387591,	-0.359162,	-0.330403,	-0.30134,	-0.272,	-0.24241,	-0.212598,	-0.18259,	-0.152415,	-0.1221,	-0.0916731,	-0.0611618,	-0.0305939,	3.31395e-06,	0.030594,	0.0611595,	0.0916715,	0.122099,	0.152415,	0.18259,	0.212598,	0.24241,	0.272,	0.30134,	0.330403,	0.359162,	0.38759,	0.415661,	0.443349,	0.470627,	0.497471,	0.523854,	0.549751,	0.575139,	0.599993,	0.624289,	0.648003,	0.671114,	0.693597,	0.715432,	0.736596,	0.757069,	0.77683,	0.79586,	0.814139,	0.831648,	0.84837,	0.864287,	0.879382,	0.89364,	0.907045,	0.919582,	0.931237,	0.941998,	0.951852,	0.960788,	0.968795,	0.975862,	0.981982,	0.987146,	0.991346,	0.994577,	0.996833,	0.998109
0.005,	0.99754,	0.998028,	0.997531,	0.996047,	0.993574,	0.990112,	0.985661,	0.980222,	0.973799,	0.966395,	0.958015,	0.948664,	0.938349,	0.927077,	0.914858,	0.901702,	0.887619,	0.872621,	0.856722,	0.839935,	0.822275,	0.80376,	0.784405,	0.76423,	0.743253,	0.721494,	0.698975,	0.675719,	0.651747,	0.627084,	0.601754,	0.575784,	0.5492,	0.522029,	0.494299,	0.46604,	0.43728,	0.40805,	0.378381,	0.348304,	0.317851,	0.287055,	0.255949,	0.224565,	0.192938,	0.161102,	0.129091,	0.0969395,	0.0646829,	0.0323633,	5.02276e-05,	-0.0323277,	-0.0647225,	-0.0969668,	-0.129104,	-0.161107,	-0.19294,	-0.224566,	-0.255949,	-0.287055,	-0.317851,	-0.348304,	-0.378381,	-0.40805,	-0.43728,	-0.46604,	-0.494299,	-0.522029,	-0.5492,	-0.575784,	-0.601754,	-0.627084,	-0.651747,	-0.675719,	-0.698975,	-0.721494,	-0.743253,	-0.76423,	-0.784405,	-0.80376,	-0.822275,	-0.839935,	-0.856721,	-0.872621,	-0.887619,	-0.901702,	-0.914858,	-0.927077,	-0.938349,	-0.948664,	-0.958015,	-0.966395,	-0.973799,	-0.980222,	-0.98566,	-0.990111,	-0.993574,	-0.996047,	-0.997531,	-0.998028,	-0.99754,	-0.99607,	-0.993623,	-0.990204,	-0.985819,	-0.980476,	-0.974181,	-0.966945,	-0.958776,	-0.949685,	-0.939684,	-0.928783,	-0.916997,	-0.904339,	-0.890823,	-0.876463,	-0.861277,	-0.84528,	-0.828488,	-0.810921,	-0.792595,	-0.77353,	-0.753745,	-0.733261,	-0.712097,	-0.690274,	-0.667814,	-0.64474,	-0.621072,	-0.596834,	-0.57205,	-0.546742,	-0.520935,	-0.494653,	-0.467921,	-0.440763,	-0.413204,	-0.385271,	-0.356989,	-0.328384,	-0.299481,	-0.270308,	-0.240891,	-0.211257,	-0.181432,	-0.151444,	-0.121319,	-0.0910847,	-0.0607683,	-0.0303967,	3.29607e-06,	0.030397,	0.0607661,	0.091083,	0.121318,	0.151443,	0.181432,	0.211256,	0.240891,	0.270308,	0.299481,	0.328383,	0.356989,	0.385271,	0.413204,	0.440763,	0.467921,	0.494653,	0.520935,	0.546742,	0.57205,	0.596834,	0.621072,	0.644739,	0.667814,	0.690274,	0.712097,	0.733261,	0.753745,	0.77353,	0.792595,	0.810921,	0.828488,	0.84528,	0.861277,	0.876463,	0.890823,	0.904339,	0.916997,	0.928783,	0.939684,	0.949685,	0.958776,	0.966945,	0.974181,	0.980476,	0.985819,	0.990204,	0.993623,	0.99607,	0.99754
0.006,	0.996933,	0.997615,	0.997314,	0.996026,	0.993748,	0.99048,	0.986221,	0.980972,	0.974735,	0.967513,	0.959309,	0.950128,	0.939977,	0.928863,	0.916793,	0.903777,	0.889825,	0.874948,	0.85916,	0.842473,	0.824903,	0.806465,	0.787176,	0.767054,	0.746118,	0.724387,	0.701884,	0.678629,	0.654646,	0.629959,	0.604593,	0.578573,	0.551926,	0.524681,	0.496865,	0.468507,	0.439638,	0.410288,	0.380488,	0.350271,	0.31967,	0.288716,	0.257445,	0.22589,	0.194085,	0.162066,	0.129868,	0.0975253,	0.065076,	0.032562,	5.35846e-05,	-0.0325221,	-0.0651155,	-0.0975548,	-0.129883,	-0.162073,	-0.194088,	-0.225891,	-0.257445,	-0.288717,	-0.31967,	-0.350271,	-0.380488,	-0.410288,	-0.439638,	-0.468507,	-0.496865,	-0.524681,	-0.551926,	-0.578573,	-0.604593,	-0.629959,	-0.654646,	-0.678629,	-0.701884,	-0.724387,	-0.746118,	-0.767054,	-0.787176,	-0.806465,	-0.824903,	-0.842473,	-0.85916,	-0.874948,	-0.889824,	-0.903776,	-0.916793,	-0.928863,	-0.939977,	-0.950128,	-0.959309,	-0.967513,	-0.974735,	-0.980972,	-0.986221,	-0.99048,	-0.993748,	-0.996026,	-0.997314,	-0.997615,	-0.996933,	-0.99527,	-0.992633,	-0.989028,	-0.98446,	-0.978939,	-0.972472,	-0.965069,	-0.95674,	-0.947497,	-0.93735,	-0.926314,	-0.9144,	-0.901623,	-0.887998,	-0.873541,	-0.858266,	-0.842191,	-0.825333,	-0.80771,	-0.789341,	-0.770243,	-0.750437,	-0.729943,	-0.708782,	-0.686973,	-0.664539,	-0.641501,	-0.617881,	-0.593703,	-0.568989,	-0.543762,	-0.518046,	-0.491865,	-0.465243,	-0.438205,	-0.410775,	-0.382979,	-0.354841,	-0.326388,	-0.297645,	-0.268637,	-0.239391,	-0.209933,	-0.180289,	-0.150485,	-0.120548,	-0.0905041,	-0.0603801,	-0.0302021,	3.21781e-06,	0.0302025,	0.060378,	0.0905024,	0.120547,	0.150484,	0.180288,	0.209933,	0.239391,	0.268637,	0.297645,	0.326388,	0.354841,	0.382979,	0.410775,	0.438205,	0.465243,	0.491865,	0.518046,	0.543762,	0.568989,	0.593703,	0.617881,	0.641501,	0.664539,	0.686973,	0.708782,	0.729943,	0.750437,	0.770243,	0.789341,	0.80771,	0.825333,	0.842191,	0.858266,	0.873541,	0.887999,	0.901623,	0.9144,	0.926314,	0.93735,	0.947497,	0.95674,	0.965069,	0.972472,	0.978939,	0.98446,	0.989028,	0.992634,	0.995271,	0.996933
0.007,	0.996288,	0.997165,	0.997058,	0.995966,	0.993884,	0.99081,	0.986744,	0.981685,	0.975635,	0.968595,	0.960569,	0.951561,	0.941576,	0.93062,	0.918702,	0.905828,	0.89201,	0.877258,	0.861584,	0.845,	0.827522,	0.809165,	0.789944,	0.769878,	0.748985,	0.727285,	0.704799,	0.681548,	0.657557,	0.632847,	0.607446,	0.581378,	0.55467,	0.527351,	0.499449,	0.470994,	0.442015,	0.412545,	0.382615,	0.352257,	0.321506,	0.290394,	0.258957,	0.227229,	0.195245,	0.163041,	0.130653,	0.0981179,	0.0654734,	0.0327627,	5.64798e-05,	-0.0327191,	-0.0655128,	-0.0981489,	-0.13067,	-0.163049,	-0.195248,	-0.22723,	-0.258957,	-0.290395,	-0.321506,	-0.352258,	-0.382615,	-0.412545,	-0.442015,	-0.470994,	-0.499449,	-0.527351,	-0.55467,	-0.581378,	-0.607446,	-0.632847,	-0.657557,	-0.681548,	-0.704799,	-0.727285,	-0.748985,	-0.769878,	-0.789944,	-0.809165,	-0.827522,	-0.845,	-0.861584,	-0.877258,	-0.89201,	-0.905828,	-0.918701,	-0.93062,	-0.941576,	-0.951561,	-0.960569,	-0.968595,	-0.975635,	-0.981685,	-0.986744,	-0.99081,	-0.993883,	-0.995965,	-0.997058,	-0.997164,	-0.996288,	-0.994434,	-0.991608,	-0.987818,	-0.983069,	-0.977372,	-0.970734,	-0.963167,	-0.954681,	-0.945288,	-0.934999,	-0.923829,	-0.911791,	-0.898899,	-0.885168,	-0.870615,	-0.855255,	-0.839105,	-0.822184,	-0.804508,	-0.786097,	-0.76697,	-0.747145,	-0.726644,	-0.705487,	-0.683694,	-0.661287,	-0.638287,	-0.614717,	-0.590599,	-0.565956,	-0.54081,	-0.515185,	-0.489105,	-0.462594,	-0.435675,	-0.408373,	-0.380713,	-0.352719,	-0.324417,	-0.295831,	-0.266987,	-0.23791,	-0.208626,	-0.17916,	-0.149539,	-0.119787,	-0.0899312,	-0.059997,	-0.0300102,	3.10007e-06,	0.0300107,	0.0599951,	0.0899295,	0.119786,	0.149538,	0.17916,	0.208626,	0.23791,	0.266987,	0.295831,	0.324417,	0.352719,	0.380713,	0.408373,	0.435675,	0.462594,	0.489105,	0.515185,	0.54081,	0.565956,	0.590599,	0.614717,	0.638287,	0.661287,	0.683694,	0.705487,	0.726644,	0.747145,	0.76697,	0.786097,	0.804508,	0.822184,	0.839105,	0.855255,	0.870615,	0.885168,	0.898899,	0.911791,	0.923829,	0.935,	0.945288,	0.954681,	0.963167,	0.970735,	0.977372,	0.983069,	0.987818,	0.991609,	0.994434,	0.996288
0.008,	0.995606,	0.996676,	0.996764,	0.995866,	0.99398,	0.991101,	0.987228,	0.98236,	0.976498,	0.969642,	0.961796,	0.952962,	0.943145,	0.93235,	0.920585,	0.907857,	0.894175,	0.879549,	0.863992,	0.847515,	0.830131,	0.811857,	0.792708,	0.7727,	0.751853,	0.730186,	0.70772,	0.684476,	0.660478,	0.635748,	0.610313,	0.584199,	0.557431,	0.53004,	0.502052,	0.4735,	0.444412,	0.414822,	0.384761,	0.354262,	0.32336,	0.292089,	0.260484,	0.228582,	0.196416,	0.164026,	0.131447,	0.0987171,	0.0658754,	0.0329654,	5.90544e-05,	-0.0329185,	-0.0659144,	-0.0987493,	-0.131466,	-0.164035,	-0.196421,	-0.228583,	-0.260485,	-0.29209,	-0.32336,	-0.354262,	-0.384761,	-0.414822,	-0.444412,	-0.4735,	-0.502053,	-0.53004,	-0.557432,	-0.584199,	-0.610313,	-0.635749,	-0.660478,	-0.684476,	-0.70772,	-0.730186,	-0.751853,	-0.7727,	-0.792707,	-0.811857,	-0.830131,	-0.847514,	-0.863992,	-0.879549,	-0.894175,	-0.907856,	-0.920584,	-0.93235,	-0.943144,	-0.952962,	-0.961796,	-0.969642,	-0.976498,	-0.98236,	-0.987228,	-0.991101,	-0.99398,	-0.995866,	-0.996764,	-0.996675,	-0.995606,	-0.993562,	-0.990549,	-0.986574,	-0.981647,	-0.975775,	-0.96897,	-0.961241,	-0.9526,	-0.943059,	-0.932631,	-0.92133,	-0.90917,	-0.896166,	-0.882332,	-0.867686,	-0.852244,	-0.836023,	-0.81904,	-0.801315,	-0.782865,	-0.76371,	-0.743869,	-0.723363,	-0.702212,	-0.680437,	-0.658058,	-0.635099,	-0.611579,	-0.587522,	-0.56295,	-0.537886,	-0.512353,	-0.486374,	-0.459973,	-0.433173,	-0.405999,	-0.378474,	-0.350622,	-0.32247,	-0.29404,	-0.265358,	-0.236448,	-0.207336,	-0.178046,	-0.148605,	-0.119036,	-0.0893659,	-0.059619,	-0.0298209,	2.95525e-06,	0.0298214,	0.0596173,	0.0893642,	0.119035,	0.148604,	0.178046,	0.207335,	0.236448,	0.265357,	0.294039,	0.322469,	0.350622,	0.378473,	0.405998,	0.433173,	0.459973,	0.486374,	0.512353,	0.537886,	0.56295,	0.587522,	0.611579,	0.635098,	0.658058,	0.680437,	0.702212,	0.723363,	0.743869,	0.76371,	0.782865,	0.801315,	0.81904,	0.836023,	0.852244,	0.867686,	0.882332,	0.896166,	0.90917,	0.92133,	0.932632,	0.943059,	0.9526,	0.961241,	0.96897,	0.975775,	0.981647,	0.986574,	0.990549,	0.993562,	0.995606
0.009,	0.994888,	0.996149,	0.996431,	0.995728,	0.994037,	0.991353,	0.987674,	0.982998,	0.977324,	0.970654,	0.962988,	0.95433,	0.944682,	0.934051,	0.922441,	0.909861,	0.896318,	0.881822,	0.866384,	0.850015,	0.83273,	0.814542,	0.795466,	0.775521,	0.754723,	0.733091,	0.710648,	0.687413,	0.66341,	0.638662,	0.613195,	0.587035,	0.56021,	0.532746,	0.504675,	0.476025,	0.446829,	0.417118,	0.386926,	0.356286,	0.325232,	0.293801,	0.262028,	0.229949,	0.197601,	0.165022,	0.13225,	0.0993231,	0.0662818,	0.0331702,	6.13981e-05,	-0.0331203,	-0.0663205,	-0.0993562,	-0.13227,	-0.165033,	-0.197606,	-0.229951,	-0.262029,	-0.293802,	-0.325233,	-0.356286,	-0.386926,	-0.417119,	-0.446829,	-0.476025,	-0.504675,	-0.532747,	-0.56021,	-0.587036,	-0.613195,	-0.638662,	-0.66341,	-0.687413,	-0.710648,	-0.733091,	-0.754723,	-0.775521,	-0.795466,	-0.814542,	-0.83273,	-0.850015,	-0.866384,	-0.881822,	-0.896318,	-0.909861,	-0.922441,	-0.934051,	-0.944682,	-0.954329,	-0.962988,	-0.970654,	-0.977324,	-0.982997,	-0.987673,	-0.991353,	-0.994037,	-0.995728,	-0.996431,	-0.996149,	-0.994887,	-0.992654,	-0.989455,	-0.985298,	-0.980193,	-0.97415,	-0.967178,	-0.95929,	-0.950497,	-0.940811,	-0.930247,	-0.918818,	-0.906539,	-0.893425,	-0.879491,	-0.864755,	-0.849234,	-0.832944,	-0.815903,	-0.79813,	-0.779644,	-0.760464,	-0.740609,	-0.720101,	-0.698958,	-0.677202,	-0.654854,	-0.631935,	-0.608467,	-0.584472,	-0.559973,	-0.534991,	-0.509549,	-0.483671,	-0.45738,	-0.430698,	-0.403651,	-0.37626,	-0.34855,	-0.320546,	-0.29227,	-0.263748,	-0.235004,	-0.206062,	-0.176947,	-0.147683,	-0.118295,	-0.0888079,	-0.059246,	-0.0296341,	2.79126e-06,	0.0296345,	0.0592444,	0.0888063,	0.118294,	0.147682,	0.176946,	0.206062,	0.235004,	0.263748,	0.29227,	0.320545,	0.34855,	0.37626,	0.40365,	0.430698,	0.45738,	0.483671,	0.509549,	0.53499,	0.559972,	0.584472,	0.608467,	0.631935,	0.654853,	0.677202,	0.698958,	0.7201,	0.740609,	0.760464,	0.779644,	0.79813,	0.815903,	0.832944,	0.849234,	0.864755,	0.879491,	0.893425,	0.906539,	0.918818,	0.930247,	0.940811,	0.950497,	0.95929,	0.967179,	0.97415,	0.980194,	0.985298,	0.989455,	0.992654,	0.994888
0.01,	0.994132,	0.995585,	0.99606,	0.995552,	0.994055,	0.991566,	0.988081,	0.983597,	0.978113,	0.971629,	0.964146,	0.955665,	0.946189,	0.935722,	0.924271,	0.911841,	0.898439,	0.884075,	0.868759,	0.852503,	0.835318,	0.817218,	0.79822,	0.778339,	0.757592,	0.735999,	0.713581,	0.690357,	0.666352,	0.641588,	0.616091,	0.589888,	0.563005,	0.535471,	0.507316,	0.478571,	0.449266,	0.419435,	0.389111,	0.358329,	0.327123,	0.29553,	0.263587,	0.23133,	0.198798,	0.166029,	0.133061,	0.0999359,	0.0666927,	0.0333772,	6.35709e-05,	-0.0333245,	-0.0667311,	-0.0999698,	-0.133083,	-0.166041,	-0.198804,	-0.231333,	-0.263588,	-0.295531,	-0.327123,	-0.358329,	-0.389111,	-0.419435,	-0.449266,	-0.478571,	-0.507316,	-0.535471,	-0.563005,	-0.589888,	-0.616091,	-0.641588,	-0.666352,	-0.690357,	-0.713581,	-0.735999,	-0.757592,	-0.778339,	-0.79822,	-0.817218,	-0.835318,	-0.852502,	-0.868759,	-0.884075,	-0.898439,	-0.91184,	-0.924271,	-0.935722,	-0.946189,	-0.955664,	-0.964145,	-0.971629,	-0.978113,	-0.983597,	-0.988081,	-0.991566,	-0.994055,	-0.995551,	-0.996059,	-0.995584,	-0.994132,	-0.99171,	-0.988327,	-0.98399,	-0.97871,	-0.972496,	-0.965361,	-0.957316,	-0.948373,	-0.938545,	-0.927847,	-0.916293,	-0.903897,	-0.890677,	-0.876646,	-0.861823,	-0.846225,	-0.829869,	-0.812773,	-0.794955,	-0.776435,	-0.757232,	-0.737366,	-0.716856,	-0.695724,	-0.673989,	-0.651672,	-0.628796,	-0.605381,	-0.581449,	-0.557022,	-0.532123,	-0.506773,	-0.480996,	-0.454814,	-0.428251,	-0.401329,	-0.374071,	-0.346502,	-0.318644,	-0.290522,	-0.262158,	-0.233578,	-0.204804,	-0.175861,	-0.146773,	-0.117564,	-0.0882572,	-0.0588778,	-0.0294498,	2.61346e-06,	0.0294501,	0.0588764,	0.0882557,	0.117562,	0.146772,	0.17586,	0.204804,	0.233578,	0.262158,	0.290522,	0.318644,	0.346502,	0.374071,	0.401329,	0.428251,	0.454814,	0.480996,	0.506773,	0.532122,	0.557022,	0.581449,	0.60538,	0.628796,	0.651672,	0.673989,	0.695724,	0.716856,	0.737366,	0.757232,	0.776435,	0.794955,	0.812773,	0.829869,	0.846225,	0.861823,	0.876646,	0.890677,	0.903897,	0.916293,	0.927847,	0.938545,	0.948373,	0.957316,	0.965361,	0.972497,	0.97871,	0.98399,	0.988327,	0.991711,	0.994132
